f_bus,t_bus,r,x,b,rateA,rateB,rateC,ratio,angle,status,angmin
76,74,0,0,0,1000,1,1,0,0,1.1,0.9
9,77,0,0,0,1000,1,1,0,0,1.1,0.9
80,80,0,0,0,1000,1,1,0,0,1.1,0.9
19,19,0,0,0,1000,1,1,0,0,1.1,0.9
5,5,0,0,0,1000,1,1,0,0,1.1,0.9
43,43,0,0,0,1000,1,1,0,0,1.1,0.9
91,91,0,0,0,1000,1,1,0,0,1.1,0.9
81,83,0,0,0,1000,1,1,0,0,1.1,0.9
64,64,0,0,0,1000,1,1,0,0,1.1,0.9
64,64,0,0,0,1000,1,1,0,0,1.1,0.9
64,64,0,0,0,1000,1,1,0,0,1.1,0.9
64,64,0,0,0,1000,1,1,0,0,1.1,0.9
64,64,0,0,0,1000,1,1,0,0,1.1,0.9
21,21,0,0,0,1000,1,1,0,0,1.1,0.9
64,64,0,0,0,1000,1,1,0,0,1.1,0.9
64,64,0,0,0,1000,1,1,0,0,1.1,0.9
64,64,0,0,0,1000,1,1,0,0,1.1,0.9
21,21,0,0,0,1000,1,1,0,0,1.1,0.9
66,93,0,0,0,1000,1,1,0,0,1.1,0.9
3,3,0,0,0,1000,1,1,0,0,1.1,0.9
3,3,0,0,0,1000,1,1,0,0,1.1,0.9
82,82,0,0,0,1000,1,1,0,0,1.1,0.9
82,82,0,0,0,1000,1,1,0,0,1.1,0.9
82,82,0,0,0,1000,1,1,0,0,1.1,0.9
82,82,0,0,0,1000,1,1,0,0,1.1,0.9
82,82,0,0,0,1000,1,1,0,0,1.1,0.9
82,82,0,0,0,1000,1,1,0,0,1.1,0.9
82,82,0,0,0,1000,1,1,0,0,1.1,0.9
82,82,0,0,0,1000,1,1,0,0,1.1,0.9
90,38,0,0,0,1000,1,1,0,0,1.1,0.9
93,93,0,0,0,1000,1,1,0,0,1.1,0.9
80,80,0,0,0,1000,1,1,0,0,1.1,0.9
91,91,0,0,0,1000,1,1,0,0,1.1,0.9
13,13,0,0,0,1000,1,1,0,0,1.1,0.9
13,13,0,0,0,1000,1,1,0,0,1.1,0.9
