id,@id,addr:place,area,barrier,branch,building,building:levels,frequency,industrial,landuse,location,man_made,name,operator,operator:short,operator:wikidata,power,ref,roof:shape,source,start_date,street_cabinet,substation,utility,voltage,geometry,centroid
way/1246170585,way/1246170585,,,,,,,50,,,outdoor,,,,,,substation,,,,,,,,330000,"POLYGON ((0.0461502 5.6815821, 0.0458 5.6807821, 0.0459811 5.6804867, 0.0466168 5.6809324, 0.0465873 5.6809725, 0.0470615 5.6813161, 0.0468658 5.6815882, 0.0464022 5.6812447, 0.0461502 5.6815821))","(0.046343502347370766, 5.681077539719796)"
way/1246170591,way/1246170591,,,,,,,,,,,,,,,,substation,,,,,,,,,"POLYGON ((0.0175891 5.6783195, 0.017711 5.678021, 0.0181071 5.6781811, 0.0179852 5.6784797, 0.0175891 5.6783195))","(0.017848108590852813, 5.678250331038017)"
way/1246170593,way/1246170593,,,,,,,,,,,,,,,,substation,,,,,,,,,"POLYGON ((0.0244018 5.6947569, 0.0249476 5.6942664, 0.0254309 5.6947989, 0.0248852 5.6952894, 0.0244018 5.6947569))","(0.02491636670805421, 5.694777899321483)"
way/1279201514,way/1279201514,,,,,,,,,,,,Mim Substation,,,,substation,,,,,,,,161000;34500,"POLYGON ((-2.5603337 6.9163163, -2.5604282 6.9155786, -2.5598052 6.9156868, -2.5596768 6.9156395, -2.5593672 6.9156502, -2.5593768 6.9163167, -2.5603337 6.9163163))","(-2.5598826933941616, 6.9159723851404316)"
way/1279409008,way/1279409008,,,,,,,,,,,,Berekum Substation,,,,substation,,,,,,,,,"POLYGON ((-2.6134354 7.428261, -2.612877 7.4274089, -2.6117859 7.4279898, -2.6123696 7.4288546, -2.6134354 7.428261))","(-2.612614394351582, 7.428128862401627)"
way/1279430609,way/1279430609,,,,,,,,,,,,Juabeso Substation,Ghana Grid Company,,Q16733560,substation,,,,,,transmission,,161000;34500,"POLYGON ((-2.833128 6.3529365, -2.8325335 6.3517946, -2.8316148 6.3521776, -2.8321547 6.3533436, -2.8319092 6.3534569, -2.8321386 6.3539316, -2.8326417 6.3537036, -2.8324261 6.3532305, -2.833128 6.3529365))","(-2.832345296674037, 6.352753122725337)"
way/1291386749,way/1291386749,,,,,,,,,,,,Kpone,,,,substation,,,,,,,,,"POLYGON ((0.0083818 5.7350106, 0.0083397 5.7348723, 0.0082913 5.7347137, 0.0084958 5.7346586, 0.0085813 5.7349539, 0.0083818 5.7350106))","(0.008437254319755429, 5.734833728598896)"
way/1294756600,way/1294756600,,,,,,,,,,outdoor,,Kasoa,Grid Co,,,substation,,,,,,transmission,,161000,"POLYGON ((-0.4428944 5.5311309, -0.4426664 5.5305275, -0.4426181 5.5304674, -0.441729 5.5307918, -0.441792 5.5310134, -0.441611 5.5310681, -0.4417813 5.5314993, -0.4417464 5.531518, -0.4419194 5.5316314, -0.4419878 5.5315367, -0.4427643 5.531279, -0.4427187 5.5311455, -0.4427777 5.5311282, -0.4427885 5.5311696, -0.4428944 5.5311309))","(-0.44224694564969974, 5.531038602899579)"
way/1301571554,way/1301571554,,,,,,,,,,,,,,,,substation,,,,,,,,,"POLYGON ((-2.1390367 5.4381265, -2.1387901 5.4373295, -2.1380015 5.4375713, -2.1382481 5.4383683, -2.1390367 5.4381265))","(-2.1385191, 5.4378489000000005)"
way/1317936012,way/1317936012,,,,,,,,,,,,Kpeve Substation,Ghana Grid Company,,Q16733560,substation,,,,,,transmission,power,,"POLYGON ((0.3338411 6.6927966, 0.3336801 6.6924314, 0.3341142 6.6922425, 0.3342752 6.6926077, 0.3338411 6.6927966))","(0.33397765, 6.69251955)"
way/1376393081,way/1376393081,,,,,,,50,,,,,Kadjebi Substaion,Ghana Grid Company,,,substation,,,,,,,power,69000,"POLYGON ((0.4680092 7.5069155, 0.4673536 7.5074041, 0.4668904 7.5067931, 0.467546 7.5063045, 0.4680092 7.5069155))","(0.4674498000000001, 7.5068543000000005)"
way/1376393083,way/1376393083,,,,,,,,,,,,,,,,substation,,,,,,,,,"POLYGON ((-1.0991867 10.8846343, -1.0995676 10.8843446, -1.0993208 10.8840483, -1.098948 10.8843446, -1.0991867 10.8846343))","(-1.0992567017235495, 10.884342400000001)"
way/1376395086,way/1376395086,,,,,,,50,,,,,Kpnadu Substaion,Ghana Grid Company,,,substation,,,,,,,power,69000,"POLYGON ((0.2910241 6.9744179, 0.2909434 6.9739043, 0.2914127 6.9738316, 0.2914934 6.9743452, 0.2910241 6.9744179))","(0.2912184000000001, 6.9741247500000005)"
way/1393656611,way/1393656611,,,,,,,,,,,,,,,,substation,,,,,,,,,"POLYGON ((-0.1799816 5.6553905, -0.1800835 5.654862, -0.1796557 5.654786, -0.1795645 5.6553078, -0.1799816 5.6553905))","(-0.17982206369261136, 5.655085732920682)"
way/1393656612,way/1393656612,,,,,,,,,,,,,,,,substation,,,,,,,,,"POLYGON ((-0.3731355 5.5510547, -0.3731181 5.5509452, -0.373169 5.5509318, -0.3731342 5.5506208, -0.3727479 5.5506983, -0.3727667 5.5508251, -0.3726889 5.5508491, -0.3727506 5.5511307, -0.3731355 5.5510547))","(-0.37293786642703386, 5.550877711017524)"
way/1393656613,way/1393656613,,,,,,,,,,,,,,,,substation,,,,,,,,,"POLYGON ((-1.2078005 5.2086888, -1.2080057 5.2091211, -1.2083262 5.2089752, -1.2081211 5.2085246, -1.2078005 5.2086888))","(-1.2080639020535204, 5.208826182597416)"
way/1413832435,way/1413832435,,,,,,,,,,,,,,,,substation,,,,,,,,,"POLYGON ((-2.3729327 6.2872593, -2.3735411 6.2877745, -2.3737121 6.2874601, -2.3734653 6.2872069, -2.3731944 6.2869909, -2.3729327 6.2872593))","(-2.3733426378373235, 6.28736744008171)"
way/1422444879,way/1422444879,,,,,,,,,,,,,,,,substation,,,,,,,,,"POLYGON ((-0.8533314 9.5548359, -0.8530793 9.5546454, -0.8528191 9.5550078, -0.8530793 9.555185, -0.8533314 9.5548359))","(-0.8530766000000001, 9.554917869653199)"
way/1422444880,way/1422444880,,,,,,,,,,,,,,,,substation,,,,,,,,,"POLYGON ((-1.0106993 9.6280204, -1.0108575 9.6277586, -1.0105571 9.6276078, -1.0104203 9.6278882, -1.0106993 9.6280204))","(-1.0106340333643167, 9.627816528078649)"
way/1426793366,way/1426793366,,,,,,,,,,,,,,,,substation,,,,,,,,,"POLYGON ((0.5818945 6.0100114, 0.581857 6.0096833, 0.5817148 6.0096913, 0.5816451 6.0092405, 0.5825973 6.0090911, 0.5827126 6.0099047, 0.5818945 6.0100114))","(0.5822061109930468, 6.009547263698825)"
way/1429532745,way/1429532745,,,,,,,50,,,outdoor,,Asiekpe Substaion,Ghana Grid Company,,,substation,,,,,,transmission,power,69000;161000,"POLYGON ((0.5517125 6.26072, 0.5516758 6.2596957, 0.552732 6.2596583, 0.5527687 6.2606825, 0.5517125 6.26072))","(0.5522222414279861, 6.2601891255935005)"
way/1443000643,way/1443000643,,,,,,,,,,,,,,,,substation,,,,,,,,,"POLYGON ((0.0195803 5.8287205, 0.019262 5.8282591, 0.0202065 5.8276764, 0.0205096 5.8281449, 0.0195803 5.8287205))","(0.019888937108514203, 5.828199809956884)"
way/1443884398,way/1443884398,,,,,,,,,,,,,,,,substation,,,,,,,,,"POLYGON ((-1.4546813 8.7830833, -1.4542667 8.7822381, -1.453802 8.7824546, -1.4542667 8.7833225, -1.4546813 8.7830833))","(-1.4542500000000003, 8.782770546411921)"
way/1443891012,way/1443891012,,,,,,,,,,,,Akyempim,,,,substation,,,,,,,,,"POLYGON ((-1.7146695 5.4873968, -1.7143119 5.4874332, -1.7144212 5.4880893, -1.7147857 5.4880574, -1.7146695 5.4873968))","(-1.714547463693545, 5.487745069602175)"
way/1458098308,way/1458098308,,,,,,,,,,,,,,,,substation,,,,,,,,,"POLYGON ((-1.8501937 5.5225563, -1.8503141 5.5221304, -1.8495782 5.5219243, -1.8494892 5.5222392, -1.849648 5.5222837, -1.8496167 5.5223946, -1.8501937 5.5225563))","(-1.8499058146847533, 5.522235712460375)"
node/919643943,node/919643943,,,,,,,,,,,,,Ghana Electricity Company,,,substation,Anloga Mains,,,,,,,,POINT (0.8771236 5.7908216),"(0.8771236, 5.7908216)"
node/2319576160,node/2319576160,,,,,,,,,,,,E.C.G. Office,Electricity Company of Ghana,ECG,Q16733491,substation,,,,,,distribution,,,POINT (0.4766635 7.1438747),"(0.4766635, 7.1438747)"
node/3095475599,node/3095475599,,,,,,,,,,,,,,,,substation,,,,,,,,,POINT (-0.2215759 5.5817531),"(-0.2215759, 5.5817531)"
node/3661904513,node/3661904513,,,,,,,,,,,,Station G,,,,substation,,,,,,minor_distribution,,,POINT (-0.2729712 5.5745814),"(-0.2729712, 5.5745814)"
node/6390492522,node/6390492522,,,,,,,,,,,,Electricity Company of Ghana,Electricity Company of Ghana,ECG,Q16733491,substation,,,,,,distribution,,,POINT (-0.2684147 6.0955284),"(-0.2684147, 6.0955284)"
node/6533692640,node/6533692640,,,,,,,,,,,,,,,,substation,,,,,,,,,POINT (-1.6852973 6.9274942),"(-1.6852973, 6.9274942)"
node/9501906282,node/9501906282,,,,,,,,,,,,,,,,substation,,,,,,,,,POINT (-2.4339144 5.8217273),"(-2.4339144, 5.8217273)"
node/11398702941,node/11398702941,,,,,,,,,,,,Electricity Company of Ghana Ltd - Ayigya,Electricity Company of Ghana,ECG,Q16733491,substation,,,,,,distribution,,,POINT (-1.5429205 6.6940126),"(-1.5429205, 6.6940126)"
node/12097152221,node/12097152221,,,,,,,,,,,,Electricity Company of Ghana (Office),Electricity Company of Ghana,ECG,Q16733491,substation,,,,,,distribution,,,POINT (-1.7322832 6.6924988),"(-1.7322832, 6.6924988)"
