bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,base_kV,Vmax,Vmin,coordinates
93,1,295932761.9047619,0,0,0,1,1,0,,1.1,0.9,POINT (0.0198889371085142 5.828199809956884)
94,1,295932761.9047619,0,0,0,1,1,0,,1.1,0.9,POINT (-1.4542500000000003 8.782770546411921)
95,1,295932761.9047619,0,0,0,1,1,0,,1.1,0.9,POINT (-1.714547463693545 5.487745069602175)
96,1,295932761.9047619,0,0,0,1,1,0,,1.1,0.9,POINT (-1.8499058146847533 5.522235712460375)
97,1,295932761.9047619,0,0,0,1,1,0,,1.1,0.9,POINT (0.8771236 5.7908216)
98,1,295932761.9047619,0,0,0,1,1,0,,1.1,0.9,POINT (0.4766635 7.1438747)
99,1,295932761.9047619,0,0,0,1,1,0,,1.1,0.9,POINT (-0.2215759 5.5817531)
100,1,295932761.9047619,0,0,0,1,1,0,,1.1,0.9,POINT (-0.2729712 5.5745814)
101,1,295932761.9047619,0,0,0,1,1,0,,1.1,0.9,POINT (-0.2684147 6.0955284)
102,1,295932761.9047619,0,0,0,1,1,0,,1.1,0.9,POINT (-1.6852973 6.9274942)
103,1,295932761.9047619,0,0,0,1,1,0,,1.1,0.9,POINT (-2.4339144 5.8217273)
104,1,295932761.9047619,0,0,0,1,1,0,,1.1,0.9,POINT (-1.5429205 6.6940126)
105,1,295932761.9047619,0,0,0,1,1,0,,1.1,0.9,POINT (-1.7322832 6.6924988)
